name,symbol,usym,gecko
Bitcoin,BTC,₿,bitcoin
Ethereum,ETH,Ξ,ethereum
Cardano,ADA,₳,cardano
XRP,XRP,✕,ripple
Solana,SOL,◎,solana
Polkadot,DOT,●,polkadot
Dogecoin,DOGE,Ð,dogecoin
Dai,DAI,◈,dai
Litecoin,LTC,Ł,litecoin
Algorand,ALGO,Ⱥ,algorand
Bitcoin Cash,BCH,Ƀ,bitcoin-cash
ECOMI,OMI,Ο,ecomi
Internet Computer,ICP,∞,internet-computer
Ethereum Classic,ETC,ξ,ethereum-classic
Monero,XMR,ɱ,monero
Tezos,XTZ,ꜩ,tezos
Iota,MIOTA,ɨ,iota
EOS,EOS,ε,eos
Bitcoin SV,BSV,Ɓ,bitcoin-cash-sv
Maker,MKR,Μ,maker
Zcash,ZEC,ⓩ,zcash
Dash,DASH,Đ,dash
Nano,XNO,Ӿ,nano
Augur,REP,Ɍ,augur
Steem,STEEM,ȿ,steem
